,RT_l10,sd_RT,FC_l10,sd_FC,FC,RT,followers_count,friends_count,listed_count,favourites_count,statuses_count,protected,geo_enabled,verified,contributors_enabled,is_translator,is_translation_enabled,profile_background_tile,profile_use_background_image,has_extended_profile,default_profile,default_profile_image
915,0.4,1.2000000000000002,0.9,2.3853720883753127,1.0,0.0,202.0,121.0,29.0,11979.0,7458.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
916,0.3,0.6403124237432848,3.0,2.6076809620810595,1.0,0.0,557.0,339.0,13.0,24346.0,40332.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
917,0.2,0.4000000000000001,1.3,0.6403124237432848,0.0,0.0,189.0,259.0,6.0,30810.0,15542.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
918,0.0,0.0,0.5,0.5,0.0,0.0,76.0,210.0,6.0,6209.0,5975.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
919,0.0,0.0,0.3,0.4582575694955841,0.0,0.0,54.0,122.0,0.0,257.0,828.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
920,0.1,0.30000000000000004,0.2,0.6000000000000001,0.0,0.0,217.0,715.0,1.0,1840.0,6003.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
921,0.0,0.0,0.2,0.4000000000000001,0.0,0.0,3583.0,463.0,37.0,66063.0,171993.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
922,0.3,0.6403124237432848,2.4,1.2000000000000002,3.0,1.0,179.0,450.0,5.0,1412.0,1151.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
923,0.1,0.30000000000000004,0.7,1.0049875621120892,0.0,0.0,27.0,81.0,0.0,4165.0,1069.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
924,0.1,0.30000000000000004,0.0,0.0,0.0,0.0,177.0,203.0,18.0,1032.0,3648.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
925,0.1,0.30000000000000004,1.4,2.416609194718914,0.0,0.0,61.0,250.0,1.0,658.0,1266.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
926,8.5,3.8535697735995385,8.8,3.249615361854384,1.0,0.0,258.0,243.0,5.0,27.0,151.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
927,0.0,0.0,0.1,0.30000000000000004,0.0,0.0,121.0,283.0,0.0,8139.0,5662.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
928,0.0,0.0,0.1,0.30000000000000004,6.0,3.0,95.0,256.0,0.0,7446.0,5081.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
929,0.6,0.4898979485566356,1.2,1.2489995996796797,0.0,0.0,715.0,2971.0,15.0,2180.0,5821.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
930,0.0,0.0,1.2,1.7776388834631176,1.0,1.0,134.0,662.0,1.0,13251.0,4032.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
931,0.1,0.30000000000000004,0.6,0.6633249580710799,4.0,0.0,164.0,249.0,4.0,3594.0,1149.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
932,0.0,0.0,0.7,0.9,0.0,0.0,139.0,219.0,4.0,234.0,3464.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
933,1.9,3.4481879299133333,3.8,4.894895300208167,3.0,1.0,466.0,488.0,3.0,34810.0,22542.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
934,14.3,40.585834967387335,12.9,35.728000223914016,0.0,0.0,405.0,272.0,1.0,741.0,3478.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
