,date,trending_topics
17,02/02/2016,"#ARMYSelcaDay,#IlegalizacionPartidoPopular,#DebateSIML,#Púnica,#LaSuerteDeQuererte,#Marialahierbabuena,#SEWVG,#PelículasConCroqueta,#megustaleer500k,#Jugador5EstrellasROV,#AsesinosFlojitos,#VoteRossLynch,#TheInbounder,#martesmge,#PrivacyShield,#FiestonEnQMCFM,#EskerrikaskoAnso,#DemoDayStartupAlcobendas,#VotoLuciaGil,#VoteLittleMixUK,#plenocan,#EstamosConCelia,#zapeando547,#ACupidoYoLePido,#VCTE10,#bareivision,#artehylénico,#LéricaEnCanalFiestaRadio,#soyhumana,Caio,KCA USA,Somalia,Comisión Constitucional,Barcelona y Granada,Homs,De la Generación X,Talant Dujshebaev,Javi Lara,Danielle,LEGO Star Wars,El CSD,Audiencia Nacional,El TSJC,Calvo Sotelo,Beren,#VOTASC,#Señorita100MVevo,#HawkyLaLia,#MiCuerpoPide,#NoSonCasosAislados"
18,03/02/2016,"#COAC2016S3,#miercolesdeganarseguidores,#TEDxValladolidSalon,#ciudadsostenible,#profes,#NoSexismNoRacism,#TheVeilFilm,#CinesaAngels,#AmelieConMyiPop,#ModernExpress,#TardesConRitmoQMCFM,#YaEstasTardando,#TheInbounder,#PreguntaUCLM,#foroe,#PlenoGetafe,#EresIncreíbleSÁIK,#VCV2016,#DantonResponde,#Vuelvo,#TacoBellOviedista,#MeBeforeYouTrailer,#5YearsOfHemmo1996,#AuroraTieneLuz,#VotaLaliEsposito,#Rickysupervivientes2016,#RubenPovedaNoTeOlvidamos,#SecretLoveSongVideo,#EurocupTDP,#VCTE11,#NegociaSánchezARV,#HoyTocaFutbol,Magnus,Europarlamento,Rand Paul,David Cal,Ollero,Huesa del Común,Cayo Lara,Cospedal,Orlando Ortega,Ana Pastor,El Ministerio del Tiempo,El Corte Inglés,#guatemila,#HoraPedroMVT,#ViajeEscuela21,#USAkillYemenis,PP y Podemos,#ParaEl14DeFebrero"
19,04/02/2016,"#LHM736,#UNILOK,#CarmenEsConcursanteVIP,#DeUnPai,#NoTuvisteInfanciaSi,#ComoMoLIKES,#Rebecaresponde,#puntodemila,#EmidioTucci,#GHSIMS2,#friendsday,#LVPesLCS7,#SEVvsCEL,#LoMas40deJuernes,#fiestaURBAN,#Eventoloqueleo,#Gala5GHVIP,El Comité de Apelación,Rudy,Ricardinho,María Salmerón,Juan Carlos Rivero,DOOM,N'Zonzi,Giants,Schumacher,Anna Book,Olivenza,Cabral,Tremoulinas,Krohn-Dehli,Vamos Celta,Vitolo,Brose,Pablo Ibar,#SeguimosBoicotMediaset,#MeloAlMillon,#AlbertRiveraT5,Gol del Sevilla,Rubén Blanco,Rami,#LaHoraChachi29,Andrea Levy,#PPodemos,Gameiro,#CiutatMorta,#CuandoNoMeVes,#mkdesayunos,#cientificosymedios,#BienalSevilla16"
20,05/02/2016,"#PremiosParamount,#Lobbo,#LaNoche24h,#LNppvalencia,#JcsNewVideo,#LaCultureta,#NoTeCortes558,#ConexiónLiderazgo,#LaHoraChachi30,#EquipoJuanHolgado,#PolémicaMadridEC,#l6cCajajistán,#PactosYVetosEC,#SoyNoticia4,Llull,Willy,Ocean's Eleven,Ayuntamiento de Madrid,Juanpi,Baskonia,#CiudadanosDisfrazados,Gora ETA,#polifrannicolás,#2AñosConDanisu,#COAC2016FINAL,#TCMSCasting,#DiaDeLaAmistad,#LaHoraChachi29,#Detroit180grados,#SusannaGrisoEH,#stoptisa,#Eventoloqueleo,#Murgas3LPGC,#LaCafeteraOJOalTISA,#QuieroBravelyPor,#NosJugamosOtraFinal,#sostenpap,#AnaPastorEC,#JuevesLardero,#ChiringuitoCopa,#VotaLuciaGil,#RepertorioTourCaos,#VotaLaliEsposito,#puntodemila,#WorldCancerDay,#MeloAlMillon,#TheStrain,#80mePueblo,#ParaEl14DeFebrero,#Gala80SC"
21,06/02/2016,"#charlaELE1,#BAePrix,#FedCup,#MusicAndWineCarrusel,#COYS,#CopaReinaLF,#MueroPor,#UnetealaMele,#VCV2016,#StopMutilacion,Kanté,UN AÑO SIN VIOLETTA,Madagascar,Okazaki,Marhez,Tejero,Atlético Aviación,Cayo Lara,Las Ketchup,Demichelis,Mewtwo,Celia Mayer,#LibertadTitiriteros,Tottenham,Riesgo,#PalabrasConETA,#TiempodeJuego114,Saúl,Alfonso Guerra,Mahrez,#Goya2016,#RIPTwitter,Leicester,#zapeando550,#UnaMujerNuncaPeroNunca,#LaHoraChachi30,#SoyNoticia4,#Lobbo,#CeliaMayerDimisión,#SanViernes,#VCTE13,#DiaMundialContraElCancer,#polifrannicolás,#2AñosConDanisu,Goya,Baskonia,Carmena,Juanpi,Gora ETA,#CiudadanosDisfrazados"
22,05/03/2016,"#GanarAlMallorca,#GRAFBCN2016,#PainReview2016,#Avivir,#SomGL2016,#HouseOfCardsSeason4,#VILvLPA,#fbcvdirecto,#MADGlutenFree,#editatona,#Del40al1CocaCola,#feminismoYciudadanía,#HappyBirthdayMadison,#escolaTAC,#OurenseTenForza,#Violencia0,#CtoEspañaPC2016,#ParticiPPem,#ValenciaAtleti,#Cincomarzada,#StradeBianche,#LifestyleDay,#OpenDataDay,#GymkhanaPS,#JSM16,#EnMarzoMePones,#AsambleaVOX,Rodolfo,Pedro Simón,La UMA,Sergey Lazarev,WE WANT DEREK BACK,Damian Lillard,Pat Conroy,El 61%,Boko Haram,Roque Nublo,Ginés Marín,#WTSAbuDhabi,Antonio Asunción,#SiFueseDelOtroSexoYo,#FelizSabado,#ElGolQueMasGrite,#N1CanalFiesta10"
23,29/03/2016,"#DePanne,#balance101,#martesmge,#edirecto,#787deseos,#Sub19,#TheInbounder,#150PorMonicaHoyos,#DEPArcticMonkeys,#OdioQueMeDigan,#BandoGTM,#Cambiame202,#IndultoParaBodalo,#MiArmarioUnderground,#elviajedesuvida,#ConComarcasPodemos,#masvaletarde,#enfueradejuego,#LaHoradelasamigas2,#Aureliómanxs,#Todopoderosos,#FUTStars7,#3dpk,#MinisterioVR,#Reto200GraciasBelenistas,#VCTE50,#SoyCulpableDe,#Rajoy100diasdeParon,#AskShay,#CCMEconBromasAparte,Tomás Tueros,Baréin,Lewandowski,Joan Campins,Chris Paul,FOR OUR GIRLS,Charlie Hebdo,Mono Burgos,Tracer,Jordi Cruyff,Telefónica,Avicii,Casa de Campo,#DNC16,#ReciclaConLuciaGil,#Islandiaexpress,Argi,Esperanza Aguirre,#filetedebollo,#TodoSeriaMejorSi"
24,16/04/2016,"#RBBlive,#LMPPGranada,#LaHoraMagica808,#CarlosWeinbergEn40GlobalShow,#eduhora20,#CONGRATULATIONSHARRY,#JusticiaCC,#CoplaDesafio1,#LNTTurismoSalvaje,#LaHoraChachi101,Jonny,Icardi,Real Zaragoza,Petros,Napoli,Beverley,Bogut,Aspas,Manu del Moral,Steph,Adan,Draymond Green,Toronto,Montoya,Cabral,El Eibar,Pablo Hernández,N'Diaye,Puerta del Príncipe,Ceballos,Guidetti,Joaquín,El Betis,Mary Poppins,Adán,Rockets,Merino,#L6Ngarzón,#PSOEimpideGobierno,Celta,#L6Noffshoria,#L6Naguirre,#GTLive3,#ELCOGASresiste,#DutchWorldSBK,#CCMEtellevaSM,#WTCC,#africana2016,#GlobalAzure,#SaraFeVuelveAMyhyv"
25,03/05/2016,"#AnimoHugo,#Birragate,#ThankYou1D,#DirectobyViruZz,El ATM,FUERA DE JUEGO,Antoine,#HawkersxAlexRins,Lahm,#CallesDeLaCiudadDelBetis,#AskDroo,Alaba,#LaHoraChachi118,Douglas Costa,Arturo Vidal,#FiltracionesTTIP,Lewandowski,Ribery,Muller,Giménez,Atlético,Bayern,#MartesDeTuitsAMano,#tecno_blandas,#CongresoCs,#HieloYFuego,#GalaMet2016,#BayernAtleti,#MiiPhoneNintendero,#VCTE75,#IFFuentedelaCorcha,#FuturoDelTrabajo,#DiadelaCruz,#SanIsidroComPasión,#pepedagogy16,#DiaMundialAsma,#ELPAIS40,#EUrefugees,#LaCafeteraPrensaAnestesiada,#VetosyVotosEP,#CorrupciónNonStopM4,#AmnistíaMontoroM4,#RepeticiónElectoralARV,#terremoto,#Birragate,#ForoRRHH16,#AEleccionesM4,Chipre,Banco de Alimentos,Peña Ubiña"
26,07/05/2016,"#sensepor,#VCFMestalla,#flipconSpain_mesaredonda,#COPamplona2016,#DMenSpotify,#tedxamp,#7MSinMordazas,#NoticiasOkDiario,#VamosRacing,#SegundaB,#15MayDebout,#EternoValeron,LOS PENES,Ximo Navarro,David García,Kaibutsu-kun,Koné,Marcel Kittel,Susaeta,Joel,Carranza,Nauzet,Joselu,El Betis B,Nastic,King Power Stadium,Simona Halep,Karanka,El Sadar,Jamie Vardy,Lugo 1-2 Alcorcón,José Tomás,Newcastle,Bundesliga,Marcos Llorente,Sebastian Olzanski,Nadal,Generelo,#beINPremier,#DueloRoyale,#GaliciaNoCentro,Castilla,#BatallaDeLosGallos,#HoyNoVeoLaSextaNochePorQue,#FromTheTrenches,#abriendopuertasCEU,#TitulosParaProfes,#EventosPearson,#MarchaAsprona,#spsmad"
