,date,trending_topics
37,23/12/2017,"#SiempreIranzo,#SorteoGaming3K,#CopaReinaLigaDIA,#MovistarPremier,#GastronomíaFriki,#DirectoGolElClasico,#LaRisaEsBonita717,#AlfredMedley,#VivaLaVida60,#oklliga,#OperaciónSuperbritánico,#RealOviedoCulturalLeonesa,#DialLatinoNavidad,#FiK56,#FAQSUstrellTV3,#BetisBaloncesto,#Pottertty,Gol del Barcelona,Froilán,Tiananmen,Billy Elliot,Trigueros,Estu,Montoya,Atalanta,Obradoiro,Tecnyconta,Fuenla,Lobotka,Mary Poppins,Jp y Ro,Zaza,Granca,Mahrez,Juan Mata,Juve,Villarreal,Chencho,Vicente,Harry Kane,Hugo Mallo,Depor,Aspas,#FirstDates514,#StarWarsVIEnCuatro,Leicester,#ONosoDerbi,#demarkenpeor,#L6NincertidumbreCat,#FelizSabado"
38,10/03/2018,"#SabadoChachi10Mar,#VivaLaVida82,#SomosLucentum,#mgp2018,#InsideXbox,#frac1,#CádizSevillaAtlético,#FamaABailarCasting,#AlmaiaEnECI,#VetoPPensiones,#FAQSigualsTV3,Lille,Varea,Ter Stegen,Elvira Lindo,Heretics,Fran Sol,El Levante,Suarez,Paulinho,Roberto,El Málaga,#FirstDates582,#nrkmgp,Coutinho,Jordi Alba,#lapiedrapoli,#melfest,#L6Nelpoderdelamujer,#CPPSOEGR,#profesinnovadores,#UnAñoSinTVD,#ConsejoGeneralCs,#iatiJGV,#LaCesiónEsLaSolución,#EscuelaPPHortaleza,#THOSFansBTS10M,#LasPiernasNoSonDelCuerpo,#trivulgando,#AtletiCelta,#TBMAirBCN,#PremierLeague,#N1CanalFiesta10,#RRSSmuseos,Carme Chacón,Paco Sedano,Inazuma,Munuera Montero,Carlos Lozano,Sharon Stone"
39,30/03/2018,"#FelizJueves,#JuevesSanto,#SVGala3,#Calanda,#LaFabrica,#TrabajadorasDelHogar,#PremierLeague,#futbolcat,#LasPalmasRealMadrid,#JuvenilA,#Soledad18,#AthleticCelta,#Palestina,#RMMovistar,Saray,Macarena,Barcelona World Race,Fase de Grupos,Salto del Caballo,Iscar Cup,Abel Ruiz,Tiangong 1,Los Dolores,The Guardian,Luka,Cafés Marcilla y Saimaza,Favores,Ernesto Valverde,Deportivo Aragón,Procesión General,Fontes,Carpena,Tobarra,#CWLBirmingham,#LCSEULVPSemis,#WCSofia,Belgrado,Doncic,#FamaABailar30M,Tavares,#ViernesSantoTelemadrid,El Cachorro,ETA o con la Kale Borroka,Arnold Schwarzenegger,Gaza,Brian,#SelfiesforMimi,#Gladiator,#FelizJueves,#SVGala3"
40,02/04/2018,"#MVTFranquismo,#FamaABailar2A,#DíadelLibroInfantil,#Itzulia,#ConexiónHonduras3,#FelizLunes,#DiaMundialAutismo,#PorquéAgoney,#MallafreDimision,#beINElClub,#AcentoAndaluz,#WinnieMandela,#DvicioftReik,#FelizMartes,#PremiosMTVMiaw,#LateMotiv368,#ESLMastersCS,#LosLunesAlGol,#LaResistencia,#LaNoche24h,#ElCascabel02A,#VBVProstitución,#TheWalkingDead,#cuadrosObradoiristas,#JosócCDR,#elefantes,#FirstDates601,#CapopEnEspañol,#AllíAbajo,Dulceida,Adan,Boudebouz,Ambrossi,Captain Tsubasa,Bordalás,#ChiringuitoCopa,#SSanta101tv,Betis,#conquis12,#LaVozKidsBatallas1,#MaestrosDeLaCostura,#AñoMurillo,#SInPersonasNoHayPresupuestos,#Campeones,#Championship,#BahrainGP,#Cámbiame2A,#MonadePascua,#BandoDeLaHuerta,#FamaABailar2A"
41,04/04/2018,"#ChampionsDocente,#VenACenar138,#frac1,#LachicainvisibleMañana,#LaNoche24h,#elintermedio,#LateMotiv370,#BalanceMS,#ChiringuitoBarcelona,#ElCascabel04A,#FirstDates604,#UnEscudoUnaBandera,#HolaIIIRepública,#FamaABailar4A,#elconquis12,Barca,Sané,Etihad,Rakitic,Dzeko,Semedo,Luis Suárez,Umtiti,Final Four,Manchester City,Falciani,Ter Stegen,#ViajerosSiliconValley,#Desaparecidos11,Roma,#GotTalentLive5,Liverpool,#Fariña5,#AitanaWarEH,#plan50x22,#Alimentaria2018,#SoloPasaConG,#película,#THOSFansBTS4A,#OTDirectoConTinet,#MareaAmarilla,#primaveracalientem4,#TensiónRealARV,#QuienAHierroMata,#4Abr,#yuFail,#Cámbiame4A,#FamaABailar4A,#Scheldeprijs,#FanBaconCrispyGourmet"
42,05/04/2018,"#FiestOTJavas,#LateMotiv371,#Més324,#HablamosDePGE,#MariaParradoAlas,#Euphoria,#GM28,#OtraHistoriaPrado,#elintermedio,#CampeonesEH,#GHSIMS4gala3,#ElCascabel05A,#LaNoche24h,#VenACenar139,#LEP2018,#AtletiSportingCP,#LandRober120,Özil,Gelson Martins,Khimki,Felipe Anderson,Rosa Díez,Comín,El Atlético,Coates,Orgullo y Prejuicio,Vitolo,Zalgiris,Efes,Diego Costa,Arsenal,Fiscalía,Griezmann,Ramsey,#FirstDates605,#FamaABailar5A,Isao Takahata,#Fugitiva,#PuigdemontPresident,#SVGala4,#jornadafisioncocp,#obesidad,#SVGala4,#LaChicaInvisible,#agAEPLA2018,#5Abr,#JuevesDeArquitectura,#MañanaPuedesSerTú,#FotoLetiziaAR,#SevillaEsMenos"
43,07/04/2018,"#Hispanos,#BlasYNereaBCN,#frac1,#LoMalo2M,#RealZaragoza,#VivaLaVida90,#ManchesterDerby,#D10S,#FAQSmauerTV3,CRÓNICA,Tomeu,Kompany,Alerta Digital,Vermaelen,Dembélé,Dembele,Ander Herrera,Suarez,Barragán,Luca Zidane,Semedo,Rakitic,Rubén Castro,Sergio León,Bartra,McLaren,Iago Aspas,Mourinho,Cuéllar,André Gomes,Raúl de Tomás,De Gea,Jordi Alba,Miller,Pogba,#FirstDates607,#lozanoabandonado,United,#L6Npabloiglesias,Münster,#BarçaLeganés,#L6Nmástergate,#JGestionCoFiGa,#EVELIV,#AsambleaGRPSOE,#WTCR,#beINLaLiga,#FamaABailar7A,#JEspiral,#ArduinoDay2018"
44,23/04/2018,"#morderlamanzana,#MeGustóMásLaPeli,#MiCorazonEsTuyo,#FfDForum,#23Abr,#EllasTambienEscriben,#FCBMasia,#Zapeando1101,#ABPMOOC_INTEF,#FamaABailar23A,#ESLMastersCS,#ThanosDemandsYourSilence,#THOSFansBTS23A,#VGenRedesURJC,#PobrezaEnergética,#SociedadDigitalIB,#premiosknowsquare,#myhyv,#1016Libros,#MD152,#LoMas40EsMiShow,#ElQuintoMapaCR,#plenocan,#OTVisionPortugal,#ElEscudoNoSeToca,Alfie Evans,Micol,Aderllan Santos,El Chiringuito,Duda,Cambridge,Simpecado,Toni Comín,Paz Padilla,Newgarden,Gil Marín,Become Human,Espinete,Kanbo,La Voz Australia,Alejandro Marqués,Kate Middleton,#AthleticLevante,La Universidad de Málaga,#DEPGatti,#YouthLeague,#ceravivientes,Toronto,#selfiesforicky,Dalsy"
45,24/04/2018,"#Alfie,#FamaABailar24A,#24Abr,#BoicotAlasRevalidas,#CuremoselSAS,#CISNS,#Liverpool,#jornadasfpvedruna,#SecretosdeEstado,#MangaStruck4,#ExtraEnergía,#StopAgresionesAPeriodistas,#CepedaChallenge,#myhyv,#StopBalasGoma,#TDR2018,#PlenoCCyL,#plenoAlcobendas,#ecosistema18,#modeloHelix,#FundaciónFrancOFF,#cityMW,#BTS_BBMAs,#AlfombraNaranjaAlPSOE,#Sense8,Santos Juliá,Bakú,21-D,'Tukutú',Fernando Tejero,Informe Semanal,ártico,Jordi Sánchez,Roque Mesa,Martí,Ignacio Escolar,Toni Hernández,Diplocat,Interventora de la Generalitat,Tour de Romandía,La Eurocámara,Carolina Routier,Comín,Ciudadanos y PNV,#mamiriam,France Football,#TrabajoDigno,#InMyBloodVideo,#PodemosEresTú,#GraciasAlfredyAmaia"
46,25/04/2018,"#cremas,#Gmail,#NacionalAlevinFS,#25Abr,#violencia,#jetaparking,#Demogorgon,#JadelEn5aweek,#Nepal,#EscuelasCreativasAdrià,#sinpersonasnohaypresupuestos,#FamaABailar25A,#THOSFansBTS25A,#DesafioESIC,#totesmoutv3,#Jcompetencias18,#OTDirecto25A,#PlenoAnd,#SEMrushRoom,#VentureOnTheRoad,#ENETI2018,#NiCifuentesNiPP,#MiriamEM,#HogwartsMystery,#AmaiaAlfredensayo,Orense,Niñatos de 10,Proyecto de Ley,El Pleno,Al Pacino,Bellamy,Scorsese,El Hombre de Negro,Carolina Marín,Vía Láctea,Lara Álvarez,Universidad de Granada,Pringles,Alain Milhaud,Hugo Chávez,Sonic Mania Plus,Carballés,Omar Fraile,PP de Madrid,#aúpavivientes,Bayona,#MVTCifuSeVa,#VuelveLlull,#HayQueEcharlos,#AlbertFinalLive"
47,27/04/2018,"#SVGala7,#FelizFinde,#BienvenidosViñaRock,#Manomanista2018,#TourSantaLibertad,#VamosTeruel,#ForzaBreo,#VenACenar155,#THOSFansBTS27A,#Luar1125,#JoseMotaPresenta4,#AmorEnStereo,#WWEGRR,#LevanteSevillaFC,#l6cEntierroETA,SHOCK,Masia,El CGPJ,Álvaro Ojeda,Muñiz,Antonio Caño,Vista Infinity War,Bardhi,Khimki,Lekic,Superliga,Baltasar Garzón,Petrovic,Reus,#NinjaWarrior4,#VolverteAVer,Final Four,#equipoLaManada,#GipsyKings2,#cuéntalo,#DíaMundialDelDiseño,#THOSFansBTS27A,#EnferMilSEMES,#felizpuente,#TIMIDA,#CMin,#DimisiónVirginiaCarrera,#Bizkaia3E,#WWEGRR,#sosRTVE,#FamaABailar27A,#ViernesNegroRTVE,#finalybt18,#zapeando1105,#kidsMW"
48,15/05/2018,"#16añossiendopartedenosotros,#pint18grc,#marchachi15may,#alsoldelomas40,#energyfruits,#torossanisidro,#pistamusical,#informedefensorasmeso2016,#pasapalabra,#jetavivientes,#pint18sal,#omatleti,#superligaorangecod6,#girautabailaisrael,#bailandoconmerche,#ibextandoencuestas,#akievpor500euros,#tomwolfe,hernani,sporting de portugal,pozuelo,el puerto,clara,freddie mercury,flavio,wondy,pokémon,world rugby,pumarín,sergio garcía,thanks jin,tve valencia,upyd,bohemian rhapsody,sos racisme,puerto de san lorenzo,saydi,el fandi,cuba ii,torra y puigdemont,lópez simón,nuevo periodismo,rosa díez,#venacenar167,ureña,#firstdates640,#amaiaiscoming,tom wolfe,#rosadiezbienvenidaalpp,#famaabailarm15"
49,19/05/2018,"#Brihuega,#lezama,#Bira,#hackthesystem,#lechazoconf,#RealOviedoSevillaAtlético,#BerlinEPrix,#FamaABailarM19,#VivaLaVida102,#MálagaGetafe,Bruno Hortelano,Molina,Jornada 30,Beckham,Francis,Govern de Torra,Buffon,Cultural,Montero e Iglesias,Mudo,Rull y Turull,United,#efeserayoenlaotra,Stuani,Djokovic,#LeganésRealBetis,Ben Yedder,Zoncolan,#FACupFinal,Hazard,Amat,#BatallaDeLosGallos,#RoyalWedding,#DiadelosMuseos,#SVGala10,#F4GLORY,#MiradasViajerasEnTarragona,#InteligenciaEjecutivaNebrija,#9encuentrorientadores,#PR3D2018,#vamosmisevilla,#HotmartCamp,#ValePorUnSueño,#chipionanatural,#ZiordiaRun,#BerlinEPrix,#Beasain,#JornadasEdelvives18,#JapanWeekendValencia,#6KforWater"
50,21/05/2018,"#ChesterSapiens,#Infinit8Iniesta,#F4GLORY,#ConexiónHonduras10,#BBMAs,#FelizLunes,#movilidad,#EmbargoMilitarIsrael,#renta2017,#Máster,#LaberintoCaranchoa,#FamaABailarM21,#21May,#Pleno,#EnLaCalleM4,#DemoDeLeyenda,Venezuela,El Supremo,'MasterChef',Que Mediaset NO QUITE Las,Rafael Hernando,Chris Pratt,Selección Española,Servicios Sociales,Liarla Pardo,Alberto Garzón,Viernes 25,Dani Giménez,Nainggolan,Ana Botín,Sophie,Barbero,Ahora Murcia,Gamelab,Alaya,Willy Toledo,Ramón Chao,Sampaoli,Nelson Vivas,Jake Gyllenhaal,#ConferenciaODS,Pepe Reina,#Zapeando1120,Pedro Rollán,#ConsultaChaléARV,Sergi Roberto,#GriezmannQuedate,#superurgentes,Lopetegui,#BodaHarryYMeghan"
51,24/05/2018,"#MarketerosNocturnos,#Oposición,#UCAMMurciaMovistarEstudiantes,#OrgulloFriki,#Mes324,#EscenarioDial,#Conapri,#Bonos,#Looser,#GDPRday,#UWCLfinal,#BetisBaloncesto,#Campodeestrellas,#GM35,#PlayOffLigaEndesa,#ViernesNegro5,#LaNoche24h,#PremiosLevante2018,#LateMotiv398,#LentoGMLRS,#FamaABailarM24,#FirstDates648,#enviadoespecialalimento,#Fugitiva8,Ronaldinho,Agustín Navarro,Alcurrucén,Roger Waters,Amenaza al PP,Muñiz,Damian Lillard,Metro de Madrid,Harvey Weinstein,Roque Mesa,Villarejo 242.000,Asier Garitano,El Juli,Unicaja,El Rubius,Ejecutiva del PSOE,Morgan Freeman,#ShawnMendesTheAlbum,#LaToyaJacksonEH,#LandRober126,#QueSeVayan,#SVGala11,#golazo,#retaildtc18,#geodc18,#rajoydimision"
52,25/05/2018,"#GDPR,#RGPD,#FelizFinde,#DiaDelOrgulloFriki,#SEMERGENANDALUZ18,#ushuaiaibiza,#Mes324,#RogerWaters,#TomavistasFest18,#PlayoffsLEBPlata,#BcnTB5,#Ireland,#ConEuterpe18,#HanSoloUnaHistoriaDeStarWars,#UMAAntequera,#Nocheenblanco,#estudioestadio,#IniestaEnGol,#VenACenar175,#luar1129,#FirstDates649,#PaisanoAlmonaster,#equipoviudanegra,Bárcenas,Froome,Kiev,Gürtel,Caso Gurtel,Graduación,Weinstein,Barakaldo,Menos de 24,Andone,Cuvillo,Talavante,Thalía,Ana Blanco,López Simón,#NocheRober3,#UnaMociónContraEspaña,#l6cOtrosGernikas,#GipsyKings6,#FactorX7,#SVGala11,#SimulacroIUFMijas,#Estrenos,#FerrovialMentoringDay,#AR25M,#Parlament,#YoSoyFrikiPorCulpaDe"
53,26/05/2018,"Fabril,Kroos,Susana Guasch,Modric,El Fulham,#FirstDates650,Firmino,Lallana,#L6Ngürtel,Tirpa,Asensio,Esteva,Pobre Salah,GOLAZO,#L6Nmoción,Cristiano,Carvajal,#UCLfinal,#l6cOtrosGernikas,#TDE2018,#SVGala11,#DiaDelOrgulloFriki,#FactorX7,#EditorialEPC,#Utopías2018,#HomeToVote,#FinalLigaRugby18,#XXIICursoAemefMálaga,#PreventivosCruzRoja,#YNWA,#CONCIENCIA,#MarianaPineda,#CdESarriguren,#DrupalCampES,#SuperligaOrangeLoL1,#NoMásPrecariedad27M,#ShowTimeCon3,#SierraMorenadeSevilla,#OpenDayUAH18,#FamaABailarM26,#ehffinal4,#N1CanalFiesta21,País Vasco y Cataluña,Yak-42,Marcaron GOL,Mercado,Marea Atlántica,Jesús Castro,Manolo Jiménez,Gallardón"
54,27/05/2018,"#CuquiAwards2018,#SemifinalBáscula,#MCF101tv,#CádizTenerife,#Liga123,#Evaristo,#Indy500,#AlfredResponde,#30minutsTV3,Yeclano,Antonio Machín,Conte,Juan Muñoz,Eguaras,Tercera División,El Almería,Zaragoza-Valladolid,Numancia,Aythami,Dolores Aguirre,Barça B,Segunda B,Palau,Theo,Anquela,Osasuna,Borja Iglesias,Rayo,#CHAMP13NS,#ConexiónHonduras11,#FamaABailarM27,#ChesterMundial,#ObjetivoCensura,#Indy500,#Cristiano,#EleccionesColombia,#AtreveteAEscucharnos,#GobiernoDeProgresoYA,#Sevilla10,#Zegama18,#MiniGlorias,#RelatoArbolRadio3,#NoMásPrecariedad27M,#DiaNacionaldelCeliaco,#TEDxYouthTorrelodones,#PlayoffLigaEndesa,#MONmovistarF1,#rcdeb,#FamaABailarM27,Ramos"
55,28/05/2018,"#UCLFinal,#CuartoMilenio,#ChesterMundial,#ObjetivoCensura,#CHAMP13NS,#ConexiónHonduras11,#FelizLunes,#28May,#MasterChef,#Gines,#MareaAmarilla,#TheGoodFight,#BdiBilbao18,#ElcheSportingB,#ESLMastersR6,#plenocan,#SuperligaOrangeCOD9,#VamosGranca,#Pasapalabra,#RolandGarros,#alevivientes,#AmorDeContrabandoES,#PremiosMadrid2018,Cristiano,Hetero,Sánchez Vara,Youtuber,Partido de Resina,El Supremo,IVAM,Museo del Prado,Amenábar,PP de Aznar,El FBI,Fabinho,PP de Madrid,Cort,Morancos,La Chana,Fonteta,Luis Bárcenas,Yak-42,Pablo Machín,Rosalía Iglesias,#FirstDates651,#FamaABailarM28,#VenACenar176,Banco de España,#DíadelPerroSinRaza,#UnaMociónPorDignidad"
56,30/05/2018,"#FamaABailarM30,#DiaMundialEM,#FelizMartes,#IniestaEH,#GotasdeSolidaridad,#TierraDeNadie11,#FelizMiércoles,#DiaDeCanarias,#Hearthstone,#PlenoAlcorcón,#RMTV,#RECUERDEN,#GENSummit,#SAVETHEPARTY,#encuentrosCyLTV,#AECOCHORECA,#tereserie,Ricardo Gómez,Andrew Lincoln,María Dolores Pradera,Sánchez,Steve Clifford,Vicente,Archidona,Vitoria-Gasteiz,La Finca,Otegi,Andrea Levy,Ducado de Franco,Turull,Soto del Real,Team Sonic Racing,Asier Garitano,Carles Duran,Sabin Etxea,Colombo,Cecil Beaton,Zoido,#BienvenidosR4,#DiaNacionalDelVapeo,#OTCastingBarcelona,#pollovivientes,Billy El Niño,Valdefresno,Fotolog,Fallout 76,#MociónOCorrupción,#Malamente,#aceitedeoliva,#AccentureDigitalHub"
57,31/05/2018,"#Looser,#AhoraCaigo,#NationalSmileDay,#Zizou,#FestivaleandoconBrugal,#EstamosConTuNegocio,#YoSoyunValienteCCF,#34RCE,#HEMESIC,Mónica Oltra,Pyke,González,Arrecife,Gorillaz,EH Bildu,Suzuki,Falangito,Canadá y México,Ángel Jiménez,Assassin's Creed,Naranjito,La Cospe,Mari Carmen,José Manuel Soto,Berizzo,Lalo Arantegui,Marcelo,#PageMiente,Adiós Mariano,Pella,#mejordirectivocyl18,TU SINGLE,#ManifiestoBarceló,#contedetemor,Albert,Rosa Díez,Aitor Esteban,#EspañaLoPrimero,El PNV,Rivera,#SIMAPRO2018,#SEECir18,#SanFermínSÍ,#FamaABailarM31,#SomosAyuda,#JuevesDeArquitectura,#Felices29PabloAlborán,#EmpresaVsPobreza,#PlanetaChatbotDay,#FundacionMutua3sector"
58,01/06/2018,"#NBAFinals,#ViernesNegro6,#BienvenidoJunio,#FelizFinde,#EstaVez,#SVGala12,#eduProcomún,#weekend,#RelivePrimavera,#VoltaCoruña,#saberyganar,#WCIrun,#GenteQueConstruye,#FamaABailar1J,#ApplauseBCN,#HammerSeries,#FAKE_LOVE,#BloggersQuesoRoncal,#GobiernoDeLaDignidad,Rivera,Zidane,Congreso,Kanye West,Economía Social y Solidaria,Kike Sola,Puigdemont a España,El Juli,Begoña Gómez,Inui,Everest,M5S y la Liga,Aena,Djokovic,Sánchez al Rey,Sáenz de Santamaría,Tano,Antonio Guadamuro,Mario Tennis,Pirro,#FeminarioValencia,#AltsasukoakAske,#CW18,Alsasua,#nerviovivientes,Monedero,#AdiósRajoy,Visa,#SVGala12,#DebateMocion,#MM93"
59,02/06/2018,"#WCIrun,#EstaVez,#CW18,#FactorX8,#FelizSábado,#CanteraGrogueta,#EvAU2018,#ASCO18,#Boucles53,#HereToCreate,#GIRAMujeresWeekend,#EduketingKids,#eSportsUnificados,#PensandoConPaco,#FinalFourRCPB,#NuevoSingleCM,#9encuentroapfrato,#ActivandoCanarias,#JaramaClassicPorsche,#OTConciertoSevilla,#CallofData2018,#FamaABailar2J,#VamosRafa,#GranadaCádiz,#HammerSeries,#AskRodeaYT,#lasperiodistasparamos,#SoloParaValientes,#EChGuadalajara,Visa,Rafael Hernando,Rajoy,Marcaron GOL,Boku,Joan Manuel Serrat,Bad Influence,Cuartos de Final,IU y Equo,Edad Media,#SuperLigaOrangeCR17,Valentino Rossi,#CocinandoDiversión,Wembley,#VivaLaVida106,#ElParqueAbreSusPuertas,#UnidasPodemos,Gasquet,Biblia,Wismichu,#ElSol2018"
60,04/06/2018,"#EvAU2018,#paro,#FelizLunes,#FuerzaGuatemala,#TodoEstáPorVer,#Pose,#PremiosAlcazaba,#Més324,#SuperligaOrangeLoL3,#loveisland,#LateMotiv403,#elintermedio,#LaNoche24h,#PuntoOposicionesAmañadas,#WWDC18,#Selectividad18,#AllíAbajo10,#conquisfavorito,#FamaABailar4J,#Felices39db,#FirstDates657,GitHub,Deliveroo,Zaza,Yaya Touré,Vampyr,Abengoa,Rompe Ralph,Baskonia,Saltillo,Carmen Calvo,Vilanova,Teresa Ribera,#ChiringuitoMadrid,Borrell,#JurassicWorldEH,#VisAVisEnFOX,#LaVerdad3,#MasterChef,#ObjetivoNuevoGobierno,#ConexiónHonduras12,#FelizLunes,#cursos,#Vengadores,#AOVE,#viveconElvive,#FuerzaGuatemala,#PlenoGC,#datos,#YoTuveUnaAmiga"
61,05/06/2018,"#MasterChef,#Selectividad2018,#FelizMartes,#DiaMundialDelMedioAmbiente,#HoraPuntaTVE,#5Jun,#Clonica5J,#120AñosConLorca,#GalaFundal,#Mes324,#SSantaElCorreo,#ElChiringuitoDeMega,#Colony,#SuperligaOrangeCOD12,#PickUpShadowhunters,#eduhora193,#ElProtagonistaMateu,#ImanolAriasEH,#LaNoche24h,#LateMotiv404,#8aniversarioVP,#LEBOro,#ElHobbit,#Braveheart,#elinterMariano,María Jesús Montero,Borrell,Carmen Montón,Alfredo Pérez,Serengeti,Miss América,Kate Spade,Jorge Moragas,Mario Husillos,Aguilar,Bolívar,Israel-Argentina,Doncic,#FirstDates658,#FamaABailar5J,#BienvenidasSur1,#Bailando4,Aznar,#TierraDeNadie12,#expoQA18,#EUSEW18,#FinalLNFS,#UMAQproject,#EDICAGM,#JUGONES"
62,06/06/2018,"#SuperligaOrangeLoL4,#AStarIsBorn,#elintermedio,#LaNoche24h,#ElCascabel06J,#JDCVegetariàTV3,#CaminoAlMundialEnGol,#UnaNocheConElDuque,#RecordandoAiteda,#ToniAcostaEH,#AhoraIIIRepública,#FirstDates659,Reyes Maroto,Tebas,Diego Martínez,Julio Álvarez,Estrella Damm,Borja Iglesias,Ginés Marín,El Tribunal de Cuentas,Baskonia,La Romareda,#FamaABailar6J,#TeamJurassicT5,#LaOtraMirada7,#LaCatedralDelMar3,#PesadillaRosal,Maxim Huerta,#6deJunio,#redsij,#ManifiestoPorMadrid,#SanFermin2018,#CursoFinanciacionEERR,#yomecuro,#TenemosLoQueHayQueTener,#AUSF18,#forofrmpcyl18,#YoSoyelPP,#CDEInfantilBM,#FeriasEmprendimiento,#ibercidemarca,#OpenExpo18,#FamaABailar6J,#HawkersxPullandBear,#EscuelaGobiernoPodemos,#EXF18,#JUGONES,#Sitges2018,Alcurrucén,Laura Borràs"
63,07/06/2018,"#HFN2018,#Sense8,#RetrofútboldeIker,#LaAlameda,#SciencEkaitza,#AragónExporta,#AdelanteAndalucía,#màxiministro,#RumboAFranciaEnGOL,#VenACenar184,#Fugitiva9,#MidNightGlory2,#PremiosMKT,#FinalLNFS,#BlancaSuárezEH,Krasnodar,Alfonso Guerra,La Universidad de Extremadura,Javier Cortés,Ana Barceló,Guedes,Hierrezuelo,Nauzet Pérez,Herbalife,Moyano,Marte,Southgate,Eusebio Sacristán,Pedro Baños,Llull,Tavares,Carroll,Laso,La Voz,Cervantes,#CiudadanosAlDesnudo,#FirstDates660,Sporting,#enviadoespecialconectados,#FamaABailarFinal,#SVGala13,#transiciónecológica,#contigodamoslacara,#juntamadrid,#semap2018,#fernando300,#mujeresmigrantes,#cticturismo,#goblabs,#aedemodigital4"
64,08/06/2018,"#weekend,#VoltaLleida,#NationalBestFriendsDay,#pasionporelatletismo,#Amistoso,#HablemosdeFutbol,#51ROU,#IngenieriaHospitalaria,#Sense8final,#LoMásDestacado,#FinalLEBOro,#AñoAbate,#CopaFutsalFem,#GERKSA,#MaitePerroniEnFuerzaG,#HalloweenMovie,#UnaNochedeVerano,#festivaldelesarts,#CaminoAlMundialEnbeIN,#MeetingIberoamericano,#TellMeMoni,#VenACenar185,#MediterraneoDGTesOdio,#EstaVez3M,#YoDonaMalasmadres,Twin Mirror,Jornada 3,River,Jim Carrey,Antena de Plata,Geraint Thomas,Toni Nadal,Mundial de Francia 2019,Bourdain,Bermúdez de Castro,Aprilia,Ramón Planes,Senegal,Navarro,Fraguas,Chaparrito,Del Potro,Pedro Sánchez y Quim Torra,#NocheRober5,Carlota,Pepe Moral,#FirstDates661,#OTConciertoACoruña,#l6cAdiósRajoy,#FXLive1"
65,12/06/2018,"#PlayaBurbuja,#selectivitat2018,#IgniteMAD7,#HomenajeaJosefina,#ánimovivientes,#educafestival18,#CocaColaMix,#CoworkingEOI,#YoNoComproFresas,Jusapol,Xenoblade Chronicles 2,Reggie,Snake,La Federación,Sakurai,Bayonetta 3,GameCube,Pokémon Let's Go,Yoshi,María José Segarra,Treehouse,#5thFlowerPathWithBTS,#UPLaIzquierda,#GrandesIniciativas,Ridley,Hollow Knight,Sergi Roberto,Direct,Fire Emblem,#RespétameRespétanos,Smash,#NintendoE3,Lopetegui,#VLCSofting18,#Oposiciones,#pymes,#NESI,#InmobiliarioEficienteUE,#ResuelvanYa,#OnDigitalHealthcare,#SalesforceBCN,#RMDW,#AECOCECyM,#TheUnescapeRoom,#b2bdigitalsummit,#Selectividad,#ConvencionLeroyMerlin,#TracaFinalM4,#EFEforum,#RMINuestroDerecho"
66,14/06/2018,"#GarriguesDigital,#Zapeando1137,#BuenRollinski,#VotaUnidad,#PremiosAspid2018,#LaDecisión,#FronterasSeguras,#LeyCsConciliación,#14Jun,#HEMESIC,#FinalSophie,#AbortoSeraLey,SonarXS,Dani Pedrosa,Porte,Mario Fernandes,Cornellà,Seguridad Nacional,Alejandro Tiana,El BCE,Luis Planas,#MundialEnMediaset,#HastaSiempreM4,Putin,#MareaDeBuenaGente,#MiPrimerRecuerdoMundialista,Cheryshev,Robbie Williams,Golovin,Arabia Saudí,#Rusia2018,#QUIEROFESTIVALEARCONBRUGAL,#AbortoSeraLey,#Draghi,#WCEU,#ForoAHK,#InboundMarketing,#SVFinal2,#PremiosFM,#AndaLevantaJ14,#LosDesayunos,#DNR18,#PlenoAsamblea,#SectorialTurismoAL,#MKT18,#Rodéanos61,#JuevesDeArquitectura,#MemoriaCEE,#WorldCupRussia2018,#NID2018"
67,16/06/2018,"#FelizSábado,#WorldCup,#VamosEspaña,#MovistarStreetBasket,#TourPrometoSevilla,#Recordamos,#MaitePerroniCCMEFanEdition,#liceualafresca,#EverythingIsLove,#PucelaEsDePrimera,#L6Nlaroja,#FAQSvallekasTV3,#francislatino,Dybala,Umtiti,Diego Costa,Sampaoli,El VAR,Australia,Perú,De Gea,Messi,Islandia,SonarLab,El Tiemblo,Kobayashi,Iruñea,Plasencia,Nino,Porsche,Asprona,Torrejón,Kaliningrado,Conway,Rakitic,Pedro Sánchez y Pablo Iglesias,Bisbal,Divergente,El Valladolid,Modric,Beyoncé,Nigeria,#L6Nretosgobierno,#fiestavivientes,#L6Ncondenanóos,#AlonsoLeMans,Croacia,#Sabina,#FelizSabado,#AperolChiringuitoParty"
