,RT_l10,sd_RT,FC_l10,sd_FC,id,followers_count,friends_count,listed_count,favourites_count,statuses_count,class_fc,class_rt
1236,0.1,0.30000000000000004,0.3,0.458257569495584,844198614.0,2275.0,859.0,25.0,19134.0,39791.0,0.0,0.0
1237,1.5,1.3601470508735445,3.8,4.331281565541543,847087711.0,21780.0,475.0,267.0,6764.0,17738.0,0.0,0.0
1238,0.0,0.0,0.7,1.1874342087037917,847159933.0,35.0,48.0,0.0,433.0,91.0,0.0,0.0
1239,2.1,0.9433981132056604,2.1,1.3747727084867525,849415098.0,6191.0,4912.0,106.0,2724.0,3226.0,0.0,0.0
1240,4.6,8.890444308357146,61.3,85.07414413322063,851684935.0,15466.0,469.0,55.0,35278.0,31379.0,1.0,0.0
1241,1.4,1.8547236990991405,6.0,4.449719092257398,852489254.0,3537.0,143.0,46.0,4400.0,3962.0,1.0,0.0
1242,0.0,0.0,0.8,0.6000000000000001,853291490.0,468.0,245.0,12.0,53901.0,50915.0,0.0,0.0
1243,0.1,0.30000000000000004,1.6,1.3564659966250538,861083760.0,18415.0,609.0,262.0,929.0,94276.0,0.0,0.0
1244,2.6,2.615339366124404,7.5,8.969392398596463,861213698.0,6704.0,2971.0,158.0,15057.0,19028.0,0.0,0.0
1245,1.1,1.757839583124695,1.6,1.5620499351813308,863446302.0,1484.0,275.0,30.0,36798.0,87856.0,0.0,0.0
1246,0.0,0.0,0.7,0.9,863733344.0,11.0,21.0,0.0,957.0,1833.0,0.0,0.0
1247,9.4,20.24944443682345,9.9,16.688019654830228,864790178.0,975.0,558.0,10.0,30751.0,89605.0,0.0,0.0
1248,0.1,0.30000000000000004,1.0,1.1832159566199232,864799170.0,2828.0,2801.0,107.0,759.0,5114.0,0.0,0.0
1249,0.0,0.0,1.1,1.3,868792200.0,541.0,500.0,18.0,37719.0,64650.0,0.0,0.0
1250,0.2,0.6000000000000001,0.2,0.6000000000000001,872036311.0,368.0,1375.0,2.0,8038.0,7344.0,0.0,0.0
1251,0.7,2.1,1.6,3.2310988842807027,872356675.0,326.0,283.0,3.0,2924.0,8473.0,0.0,0.0
1252,1.5,0.8062257748298549,0.8,0.6000000000000001,879762344.0,31267.0,22938.0,333.0,14989.0,74227.0,0.0,0.0
1253,0.0,0.0,0.2,0.4000000000000001,883146919.0,262.0,596.0,14.0,674.0,2238.0,0.0,0.0
1254,0.4,0.916515138991168,1.8,4.749736834815168,884537622.0,80.0,30.0,0.0,164.0,162.0,0.0,0.0
1255,2.1,1.2206555615733703,3.4,2.5377155080899043,884651976.0,946.0,782.0,45.0,2935.0,8583.0,0.0,0.0
1256,28.5,39.28167511703135,489.8,537.7802153296457,886939794.0,920538.0,520.0,625.0,44490.0,2590.0,0.0,0.0
1257,0.4,0.6633249580710799,0.6,0.8,886949886.0,468.0,108.0,10.0,7681.0,27612.0,0.0,0.0
1258,0.1,0.30000000000000004,0.8,1.4,887402665.0,1036.0,684.0,5.0,27160.0,40487.0,0.0,0.0
1259,0.5,0.9219544457292888,2.3,2.19317121994613,889702699.0,345.0,334.0,1.0,1296.0,708.0,0.0,0.0
1260,1.8,2.4819347291981715,3.6,3.3823069050575527,890351120.0,234.0,558.0,14.0,379.0,465.0,0.0,0.0
1261,0.0,0.0,0.5,0.5,890640415.0,978.0,328.0,5.0,4615.0,42227.0,0.0,0.0
1262,4.0,1.6124515496597098,4.1,1.1357816691600546,891030374.0,25.0,221.0,0.0,649.0,554.0,0.0,0.0
1263,0.2,0.4000000000000001,0.2,0.4000000000000001,893255556.0,2343.0,1756.0,68.0,5803.0,41450.0,0.0,0.0
1264,3.2,1.5362291495737217,4.7,3.1638584039112745,897461653.0,7560.0,1006.0,226.0,3807.0,9013.0,0.0,0.0
1265,0.4,0.4898979485566357,0.3,0.4582575694955841,902252400.0,77.0,78.0,0.0,300.0,518.0,0.0,0.0
1266,2.4,2.5377155080899034,1.3,1.4866068747318506,905846738.0,7453.0,270.0,14.0,35570.0,127823.0,0.0,0.0
1267,0.1,0.30000000000000004,0.7,1.2688577540449522,906198043.0,444.0,104.0,3.0,6602.0,21168.0,0.0,0.0
1268,1.6,1.9595917942265424,5.3,4.220189569201839,908161742.0,5902.0,828.0,145.0,15950.0,11464.0,1.0,0.0
1269,0.0,0.0,0.9,0.7000000000000001,908626008.0,444.0,126.0,6.0,48.0,824.0,0.0,0.0
1270,0.1,0.30000000000000004,0.8,0.6000000000000001,909976778.0,560.0,836.0,9.0,5409.0,22251.0,0.0,0.0
1271,1.3,1.1874342087037917,2.5,1.6278820596099706,909998372.0,39604.0,1156.0,1011.0,7429.0,43840.0,0.0,0.0
1272,0.1,0.30000000000000004,2.2,2.08806130178211,910916347.0,300.0,2084.0,3.0,31696.0,6588.0,0.0,0.0
1273,9.2,11.133732527773423,18.8,24.02415451165764,914462377.0,9940.0,486.0,225.0,4945.0,17506.0,0.0,0.0
1274,0.1,0.30000000000000004,0.1,0.30000000000000004,919674212.0,1826.0,1625.0,18.0,9056.0,101493.0,0.0,0.0
1275,0.2,0.4000000000000001,1.2,1.3266499161421599,923560435.0,1503.0,1210.0,8.0,16729.0,34016.0,0.0,0.0
1276,2.2,2.4413111231467406,6.4,5.4258639865002145,925965679.0,2263.0,384.0,49.0,877.0,2633.0,1.0,0.0
1277,4.9,13.729166034395535,25.7,57.52051807833446,938888593.0,18851.0,695.0,234.0,32771.0,26483.0,1.0,0.0
1278,0.7,1.4177446878757822,10.8,15.644807445283565,943316670.0,940.0,434.0,9.0,46635.0,14051.0,0.0,0.0
1279,19.9,41.389491419924454,21.4,34.940520889076616,944752278.0,17060.0,684.0,73.0,9191.0,40818.0,0.0,0.0
1280,0.0,0.0,0.9,0.30000000000000004,947629465.0,169.0,293.0,4.0,17118.0,5844.0,0.0,0.0
1281,0.1,0.30000000000000004,0.4,0.4898979485566357,947949864.0,5429.0,4234.0,173.0,6898.0,18442.0,0.0,0.0
1282,0.3,0.458257569495584,1.2,1.2489995996796797,950390028.0,21.0,47.0,0.0,110.0,397.0,0.0,0.0
1283,0.0,0.0,0.4,0.4898979485566357,951487416.0,66.0,237.0,0.0,886.0,1028.0,1.0,0.0
1284,0.4,0.4898979485566357,2.8,3.9698866482558417,952515048.0,428.0,279.0,4.0,2947.0,8719.0,0.0,0.0
1285,0.0,0.0,0.6,0.6633249580710799,953987220.0,1465.0,4747.0,5.0,8356.0,7520.0,0.0,0.0
1286,0.5,1.5,1.0,1.5491933384829668,954581653.0,8789.0,774.0,65.0,3432.0,260789.0,0.0,0.0
1287,272.5,207.81782887904487,1631.3,1513.9176364650755,955229336.0,1251880.0,138.0,3847.0,399.0,263.0,3.0,2.0
1288,0.3,0.9000000000000001,1.5,2.1563858652847827,955419678.0,2171.0,4519.0,18.0,14004.0,53309.0,0.0,0.0
1289,2.3,3.7429934544425802,6.1,5.838664230798,955819130.0,2936.0,1057.0,32.0,24552.0,38721.0,0.0,0.0
1290,1.7,2.238302928559939,4.6,9.941830817309254,960632474.0,1244.0,1275.0,42.0,2631.0,2413.0,0.0,0.0
1291,0.0,0.0,0.0,0.0,964963256.0,275.0,635.0,13.0,6568.0,14498.0,0.0,0.0
1292,0.0,0.0,0.0,0.0,970005409.0,82.0,134.0,1.0,0.0,64.0,0.0,0.0
1293,0.3,0.6403124237432848,1.7,2.3685438564654024,972093830.0,182.0,542.0,0.0,696.0,740.0,0.0,0.0
1294,0.5,0.9219544457292888,1.9,2.6627053911388696,974419057.0,667.0,606.0,13.0,77221.0,59059.0,0.0,0.0
1295,1.5,3.07408522978788,5.6,12.059850745345068,974783574.0,2938.0,2183.0,123.0,231068.0,278265.0,0.0,0.0
1296,3.2,2.181742422927143,4.8,3.0919249667480613,988390406.0,3599.0,362.0,81.0,4807.0,11770.0,0.0,1.0
1297,7.3,3.0347981810987035,5.9,4.504442251822083,989190145.0,134.0,369.0,6.0,2943.0,3193.0,0.0,1.0
1298,1.6,1.9595917942265424,4.9,4.5265881191025095,991343808.0,3518.0,387.0,37.0,935.0,8860.0,0.0,0.0
1299,2.8,3.841874542459709,5.9,7.462573282722255,992977134.0,5315.0,3788.0,244.0,1111.0,25263.0,0.0,0.0
1300,0.7,2.1,3.9,6.378871373526825,995998327.0,65.0,86.0,1.0,3431.0,3629.0,0.0,0.0
1301,0.1,0.30000000000000004,0.0,0.0,997084212.0,578.0,862.0,4.0,1768.0,22068.0,0.0,0.0
1302,0.0,0.0,0.3,0.4582575694955841,1002081001.0,160.0,193.0,2.0,14006.0,12802.0,0.0,0.0
1303,0.0,0.0,1.5,0.6708203932499369,1004544943.0,331.0,337.0,2.0,62089.0,46045.0,0.0,0.0
1304,0.0,0.0,1.7,0.9,1007912977.0,423.0,108.0,18.0,49969.0,91203.0,0.0,0.0
1305,0.4,0.8000000000000002,0.5,0.9219544457292888,1008958705.0,5717.0,1249.0,106.0,928.0,8037.0,0.0,0.0
1306,0.4,0.916515138991168,1.6,1.624807680927192,1011665755.0,132.0,226.0,1.0,2299.0,1525.0,0.0,0.0
1307,0.2,0.6000000000000001,1.4,1.8547236990991407,1012039938.0,377.0,99.0,5.0,2626.0,17153.0,0.0,0.0
1308,0.0,0.0,0.0,0.0,1013697320.0,740.0,994.0,0.0,3294.0,19173.0,0.0,0.0
1309,2.7,2.0518284528683197,2.8,2.08806130178211,1016219342.0,541.0,74.0,1.0,91789.0,96241.0,0.0,1.0
1310,1.6,1.624807680927192,5.6,5.388877434122993,1017043608.0,26881.0,672.0,545.0,24030.0,27857.0,0.0,0.0
1311,0.6,0.4898979485566357,1.1,1.2206555615733703,1024447970.0,522.0,877.0,7.0,9747.0,36740.0,0.0,0.0
1312,0.1,0.30000000000000004,1.0,0.6324555320336759,1026964693.0,259.0,365.0,1.0,15167.0,11741.0,0.0,0.0
1313,1.6,1.4282856857085702,4.1,3.672873534441392,1034744005.0,526.0,472.0,0.0,2278.0,5505.0,0.0,0.0
1314,2.0,1.6733200530681511,2.8,3.218695387886216,1035621306.0,1584.0,604.0,42.0,16023.0,392307.0,0.0,0.0
1315,0.6,1.2,0.6,0.916515138991168,1037691242.0,678.0,252.0,12.0,7607.0,93617.0,0.0,0.0
1316,0.0,0.0,0.0,0.0,1040021880.0,179300.0,54127.0,1150.0,3697.0,1135650.0,0.0,0.0
1317,0.5,1.2041594578792296,1.7,3.163858403911276,1041765618.0,197.0,415.0,9.0,2446.0,21371.0,0.0,0.0
1318,1.7,5.1,41.7,88.76491423980538,1042329456.0,90096.0,508.0,113.0,11549.0,43423.0,2.0,1.0
1319,0.7,2.1000000000000005,1.4,3.5832945734337827,1046203020.0,354.0,456.0,37.0,2154.0,50158.0,0.0,0.0
1320,0.0,0.0,1.2,2.181742422927143,1054016809.0,654.0,574.0,19.0,48818.0,125692.0,0.0,0.0
1321,0.4,0.916515138991168,8.1,15.14232478848608,1057992745.0,16421.0,521.0,52.0,40131.0,15214.0,0.0,0.0
1322,2.6,1.743559577416269,6.1,3.5057096285916214,1058815441.0,2984.0,695.0,116.0,6309.0,6719.0,0.0,0.0
1323,3.5,3.138470965295043,7.7,5.254521862167861,1059891726.0,4847.0,725.0,86.0,4109.0,13359.0,0.0,0.0
1324,0.1,0.30000000000000004,0.5,0.8062257748298549,1063223762.0,103.0,64.0,1.0,678.0,1819.0,0.0,0.0
1325,0.3,0.6403124237432849,1.5,1.3601470508735445,1071249174.0,5934.0,4367.0,178.0,10835.0,11393.0,0.0,0.0
1326,444.6,783.7558548425651,3728.0,5845.6110715647155,1073336054.0,2106225.0,453.0,5269.0,2913.0,1242.0,4.0,4.0
1327,0.4,0.916515138991168,0.5,0.5,1081506294.0,985.0,737.0,0.0,6639.0,14265.0,0.0,1.0
1328,2.2,3.2802438933713454,2.9,2.9137604568666933,1082940300.0,2270.0,1529.0,35.0,105012.0,58563.0,0.0,0.0
1329,0.8,0.7483314773547883,5.6,1.6852299546352716,1086912854.0,18530.0,19103.0,71.0,156417.0,112540.0,0.0,0.0
1330,0.6,1.8,7.0,6.752777206453652,1091569837.0,16293.0,6012.0,116.0,394640.0,89119.0,0.0,0.0
1331,0.3,0.4582575694955841,1.5,1.284523257866513,1092777350.0,119.0,153.0,2.0,3096.0,1945.0,0.0,0.0
1332,0.1,0.30000000000000004,0.6,0.916515138991168,1092966031.0,377.0,238.0,3.0,5028.0,24101.0,0.0,0.0
